======================================================================
                         测试报告                          
======================================================================

测试时间: 2026-05-28 22:02:48
测试论文数: 102
并行线程数: 50

📊 总体准确率
   领域匹配: 0/102 (0.0%)
   等级匹配: 0/102 (0.0%)

📋 按领域统计
   领域                                                  匹配     总数      匹配率
   ----------------------------------------------------------------------
   计算机图形学与多媒体                                         0/14     ░░░░░░░░░░    0.0%
   软件工程/系统软件/程序设计语言                                   0/11     ░░░░░░░░░░    0.0%
   人工智能                                               0/11     ░░░░░░░░░░    0.0%
   计算机体系结构/并行与分布计算/存储系统                               0/10     ░░░░░░░░░░    0.0%
   计算机网络                                              0/10     ░░░░░░░░░░    0.0%
   人机交互与普适计算                                          0/10     ░░░░░░░░░░    0.0%
   网络与信息安全                                            0/9      ░░░░░░░░░░    0.0%
   计算机科学理论                                            0/9      ░░░░░░░░░░    0.0%
   数据库/数据挖掘/内容检索                                      0/9      ░░░░░░░░░░    0.0%
   交叉/综合/新兴                                           0/9      ░░░░░░░░░░    0.0%

📋 按CCF等级统计
       等级       匹配     总数      匹配率
   ------------------------------
   CCF-A         0/37     ░░░░░░░░░░    0.0%
   CCF-B         0/33     ░░░░░░░░░░    0.0%
   CCF-C         0/32     ░░░░░░░░░░    0.0%


======================================================================
                         详细评分报告                          
======================================================================


## CCF-A 级论文 (37 篇)
标题                                            预测等级     匹配   strength N     R     P     S     C    
----------------------------------------------------------------------------------------------------
Socio-Technical Grounded Theory for Software Engin          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Rethinking Membership Inference Attacks Against Tr          ✗    0.000   0.0  0.0  0.0  0.0  0.0
NP-Hardness of Approximating Meta-Complexity: A Cr          ✗    0.000   0.0  0.0  0.0  0.0  0.0
The Ring: Worst-case Optimal Joins in Graph Databa          ✗    0.000   0.0  0.0  0.0  0.0  0.0
KLNK: Expanding Page Boundaries in a Distributed S          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Adversities in Abstract Interpretation - Accommoda          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Decomposition-based Synthesis for Applying Divide-          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Goal-Oriented Medium Access with Distributed Belie          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Enhancing Neural Network Reliability: Insights Fro          ✗    0.000   0.0  0.0  0.0  0.0  0.0
A High-Throughput and Secure Coded Blockchain for           ✗    0.000   0.0  0.0  0.0  0.0  0.0
RC-NVM: Recovery-Aware Reliability-Security Co-Des          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Database Repairing with Soft Functional Dependenci          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Multi-Objective Optimization for Multi-UAV-Assiste          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Resilient Collaborative Caching for Multi-Edge Sys          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Instant neural graphics primitives with a multires          ✗    0.000   0.0  0.0  0.0  0.0  0.0
MoVer: Motion Verification for Motion Graphics Ani          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Real-time Multi-Map Saliency-Driven Gaze Behavior           ✗    0.000   0.0  0.0  0.0  0.0  0.0
Interactive Volume Visualization via Multi-Resolut          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Real-time Neural Appearance Models                     ✗    0.000   0.0  0.0  0.0  0.0  0.0
Polyhedral Specification and Code Generation of Sp          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Low-Light Phase Retrieval With Implicit Generative          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Aligning Task- and Reconstruction-Oriented Communi          ✗    0.000   0.0  0.0  0.0  0.0  0.0
High-Similarity-Pass Attention for Single Image Su          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Locally Abstract, Globally Concrete Semantics of C          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Fair Coflow Scheduling via Controlled Slowdown          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Explanation in Artificial Intelligence: Insights f          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Policy Gradient Methods in the Presence of Symmetr          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Localisation of Regularised and Multiview Support           ✗    0.000   0.0  0.0  0.0  0.0  0.0
Mitigating Noise in Quantum Software Testing Using          ✗    0.000   0.0  0.0  0.0  0.0  0.0
Linking Entities across Relations and Graphs           ✗    0.000   0.0  0.0  0.0  0.0  0.0
